doc,w,target,pos,year,mop_id,file_path,lemmas,gender,party_abbrev,z
1885,som den internationella opinionen och massmedia liksom regeringar och internationella organ,massmedia,5,1973,jan-erik_wikstrom_704399,../riksdagen-corpus/corpus/1973/prot-1973--115.xml,mass,man,L,2
1886,fatta viktiga avgöranden om ett medium radion ett annat år om,medium,5,1973,bengt_sjonell_f960c9,../riksdagen-corpus/corpus/1973/prot-1973--115.xml,medi,man,C,3
1887,pressen varje beslut om ett massmedium påverkar andra massmedier det fordras,massmedium,5,1973,bengt_sjonell_f960c9,../riksdagen-corpus/corpus/1973/prot-1973--115.xml,mass,man,C,3
1888,om ett massmedium påverkar andra massmedier det fordras alltså att den,massmedier,5,1973,bengt_sjonell_f960c9,../riksdagen-corpus/corpus/1973/prot-1973--115.xml,mass,man,C,2
1889,det internationella nyhetsmaterialet genom svenska massmedia kommer för närvarande endast sparsamt,massmedia,5,1973,bertil_mabrink_bf8f71,../riksdagen-corpus/corpus/1973/prot-1973--115.xml,mass,man,V,2
1890,den ökade centraliseringen utvecklingen på massmedias område och medborgarens behov av,massmedias,5,1973,anna-lisa_lewen-eliasson_0d4f24,../riksdagen-corpus/corpus/1973/prot-1973--115.xml,mass,woman,S,3
1891,jag avsiktligt den del av massmedia som vill se kvinnorna främst,massmedia,5,1973,gosta_bohman_5215ab,../riksdagen-corpus/corpus/1973/prot-1973--13.xml,mass,man,M,2
1892,o m i sommar i massmedia pågår sedan en tid rätt,massmedia,5,1973,gosta_bohman_5215ab,../riksdagen-corpus/corpus/1973/prot-1973--13.xml,mass,man,M,2
1893,nuvarande amerikanska statsledningens attacker mot massmedia i usa påminner oss om,massmedia,5,1973,gosta_bohman_5215ab,../riksdagen-corpus/corpus/1973/prot-1973--13.xml,mass,man,M,2
1894,amerikanska samhället att ha fristående massmedia som kunnat ge en annan,massmedia,5,1973,gosta_bohman_5215ab,../riksdagen-corpus/corpus/1973/prot-1973--13.xml,mass,man,M,4
1895,ny dag kan problemen kring massmedias frihet te sig mycket tunna,massmedias,5,1973,gosta_bohman_5215ab,../riksdagen-corpus/corpus/1973/prot-1973--13.xml,mass,man,M,3
1896,återgår till den debatt om massmedia och åsiktsfrihet som nu förs,massmedia,5,1973,gosta_bohman_5215ab,../riksdagen-corpus/corpus/1973/prot-1973--13.xml,mass,man,M,2
1897,av det som förmedlats genom massmedia framför allt genom televisionen rakt,massmedia,5,1973,unknown,../riksdagen-corpus/corpus/1973/prot-1973--13.xml,mass,,,1
1898,sådana här stämningar underblåses i massmedia genom domedagsprofeter vilkas spådomar har,massmedia,5,1973,unknown,../riksdagen-corpus/corpus/1973/prot-1973--13.xml,mass,,,2
1899,har i pressen och andra massmedier de politiska partiernas inställning till,massmedier,5,1973,sture_palm_9f0d0b,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,man,S,1
1900,arbetslösa och det debatterades i massmedia och på offentliga möten från,massmedia,5,1973,erik_hovhammar_930663,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,man,M,2
1901,delade meningar om att dagens massmedia har stor betydelse när det,massmedia,5,1973,unknown,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,,,2
1902,stor utsträckning togs upp av massmedia för någon tid sedan men,massmedia,5,1973,unknown,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,,,1
1903,kan och också bör påtala massmedias sätt att förvalta sina uppdrag,massmedias,5,1973,unknown,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,,,3
1904,dess administration här kan även massmedia vid vissa tillfällen spela en,massmedia,5,1973,nancy_eriksson_ea4808,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,woman,S,1
1905,i detta sammanhang något beröra massmedias uppträdande ty även tidningar tidskrifter,massmedias,5,1973,nancy_eriksson_ea4808,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,woman,S,3
1906,jag inte närmast på svenska massmedias insatser på hitlerfascismens sida viss,massmedias,5,1973,nancy_eriksson_ea4808,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,woman,S,4
1907,en omfattande antikommunistisk folkstämning svenska massmedia bedrev under vietnamkrigets första år,massmedia,5,1973,nancy_eriksson_ea4808,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,woman,S,2
1908,vietnam vägrade man i dessa massmedia i stället talade man så,massmedia,5,1973,nancy_eriksson_ea4808,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,woman,S,1
1909,under den tiden i svenska massmedia språkbruket som då användes spelade,massmedia,5,1973,nancy_eriksson_ea4808,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,woman,S,1
1910,i vårt land men trots massmedias ställningstagande tog folkopinionen en annan,massmedias,5,1973,nancy_eriksson_ea4808,../riksdagen-corpus/corpus/1973/prot-1973--129.xml,mass,woman,S,3
1911,framväxten av läromedelssystem där olika media kombineras motiverar i och för,media,5,1973,unknown,../riksdagen-corpus/corpus/1973/prot-1973--100.xml,medi,,,1
1912,sätt ta del av vad mediet förmedlar särskilt diskriminerande synes detta,mediet,5,1974,karl_leuchovius_5d0d4b,../riksdagen-corpus/corpus/1974/prot-1974--143.xml,medi,man,M,3
1913,i tidningar och i andra massmedia herr talman efter att ha,massmedia,5,1974,lennart_geijer_minister_1969,../riksdagen-corpus/corpus/1974/prot-1974--143.xml,mass,,,2
1914,herr talman genom massmedia kunde vi följa översvämningskatastrofen i,massmedia,3,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--60.xml,mass,,,2
1915,nej till sådant upplever ständigt massmedias och inte minst tvs insatser,massmedias,5,1974,astrid_kristensson_66d86b,../riksdagen-corpus/corpus/1974/prot-1974--74.xml,mass,woman,M,3
1916,för moderaterna ett resonemang om massmedias roll i det brottsförebyggande arbetet,massmedias,5,1974,ake_polstam_91bea0,../riksdagen-corpus/corpus/1974/prot-1974--75.xml,mass,man,C,4
1917,håll har framförts kritik över massmedias sätt att presentera olika problem,massmedias,5,1974,ake_polstam_91bea0,../riksdagen-corpus/corpus/1974/prot-1974--75.xml,mass,man,C,3
1918,har ju just gällt att massmedia har betonat de straffades situation,massmedia,5,1974,ake_polstam_91bea0,../riksdagen-corpus/corpus/1974/prot-1974--75.xml,mass,man,C,2
1919,ungdomsbrottsligheten övervägt att ta upp massmedias bevakning av kriminalproblem och insatser,massmedias,5,1974,ake_polstam_91bea0,../riksdagen-corpus/corpus/1974/prot-1974--75.xml,mass,man,C,3
1920,vid de reservationer som behandlar massmediernas roll i detta sammanhang samt,massmediernas,5,1974,astrid_kristensson_66d86b,../riksdagen-corpus/corpus/1974/prot-1974--75.xml,mass,woman,M,0
1921,fru kristensson har sagt att massmedier förhärligar brottslingen och att den,massmedier,5,1974,astrid_kristensson_66d86b,../riksdagen-corpus/corpus/1974/prot-1974--75.xml,mass,woman,M,1
1922,frågor vi vet också att massmedier såsom tidningar tidskrifter radio och,massmedier,5,1974,astrid_kristensson_66d86b,../riksdagen-corpus/corpus/1974/prot-1974--75.xml,mass,woman,M,1
1923,behöver man knappast föra denna massmediernas roll i förgrunden som gammal,massmediernas,5,1974,astrid_kristensson_66d86b,../riksdagen-corpus/corpus/1974/prot-1974--75.xml,mass,woman,M,4
1924,har väldigt litet uppmärksammats av massmedia men de är i alla,massmedia,5,1974,bertil_mabrink_941aff,../riksdagen-corpus/corpus/1974/prot-1974--142.xml,mass,man,V,2
1925,grad bland allmänheten pressen och massmedia har också under de senaste,massmedia,5,1974,eric_enlund_2fb868,../riksdagen-corpus/corpus/1974/prot-1974--142.xml,mass,man,L,2
1926,i ännu högre grad i massmediernas rapporter från konferensen har man,massmediernas,5,1974,evert_svensson_60a2b0,../riksdagen-corpus/corpus/1974/prot-1974--142.xml,mass,man,S,0
1927,gällt procentsatser den som följt massmedias framställning av uhjälpsfrågorna genom åren,massmedias,5,1974,bo_turesson_9194ed,../riksdagen-corpus/corpus/1974/prot-1974--142.xml,mass,man,M,3
1928,och mödosamt vardagsarbete fjärran från massmedias strålkastarbelysning präglat av förhoppningar om,massmedias,5,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--88.xml,mass,,,3
1929,krafterna vi har här ett medium med en utomordentlig slagkraft det,medium,5,1974,bertil_zachrisson_minister_1973,../riksdagen-corpus/corpus/1974/prot-1974--88.xml,medi,,,3
1930,har helt naturligt av skilda massmedia säkert inte bara av dagens,massmedia,5,1974,rune_b_johansson_minister_1971,../riksdagen-corpus/corpus/1974/prot-1974--76.xml,mass,,,1
1931,mera framträdande plats i svenska massmedia ges inte denna kamp den,massmedia,5,1974,olle_goransson_f01fde,../riksdagen-corpus/corpus/1974/prot-1974--141.xml,mass,man,S,2
1932,regeringen det har också gällt massmedia och skolan man kan med,massmedia,5,1974,rune_torwald_df37c7,../riksdagen-corpus/corpus/1974/prot-1974--141.xml,mass,man,C,1
1933,nyligen blivit mycket uppmärksammat i massmedia ett uttryckligt förbud att utse,massmedia,5,1974,inger_lindquist_900808,../riksdagen-corpus/corpus/1974/prot-1974--145.xml,mass,woman,M,2
1934,skogsnäringen och skogsbruket att bombardera massmedia och oss politiker med informationsmaterial,massmedia,5,1974,bertil_jonasson_43dbdc,../riksdagen-corpus/corpus/1974/prot-1974--145.xml,mass,man,C,1
1935,sig bakom det namnet i massmedia kallas organisationen oftast bara för,massmedia,5,1974,olle_goransson_f01fde,../riksdagen-corpus/corpus/1974/prot-1974--66.xml,mass,man,S,2
1936,de hemkomna skall briljera i massmedia och framträda i tv för,massmedia,5,1974,olle_goransson_f01fde,../riksdagen-corpus/corpus/1974/prot-1974--66.xml,mass,man,S,1
1937,betydande innehav av fastigheter i massmedia har presenterats ett enmansföretag som,massmedia,5,1974,anna-greta_leijon_minister_1973,../riksdagen-corpus/corpus/1974/prot-1974--67.xml,mass,,,4
1938,har väckt bl a i massmedia,massmedia,5,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--67.xml,mass,,,2
1939,därmed intressanta för de stora massmedia tag t ex det nybyggda,massmedia,5,1974,ingvar_carlsson_minister_1973,../riksdagen-corpus/corpus/1974/prot-1974--73.xml,mass,,,1
1940,hinner fram innan de moderna massmedia spolierat möjligheten för och behovet,massmedia,5,1974,jan_bergqvist_595518,../riksdagen-corpus/corpus/1974/prot-1974--98.xml,mass,man,S,1
1941,närmast som ett hån när massmedia för någon tid sedan först,massmedia,5,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--98.xml,mass,,,2
1942,denna diskussion har tydligen enligt massmedia ägt rum i dag nu,massmedia,5,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--98.xml,mass,,,2
1943,ett minskat intresse för biståndsverksamheten massmedias intresse koncentreras ofta till de,massmedias,5,1974,margaretha_af_ugglas_79db67,../riksdagen-corpus/corpus/1974/prot-1974--65.xml,mass,woman,M,3
1944,bistånd ägnas föga onsdagen den massmedias bild av uländerna är inte,massmedias,5,1974,margaretha_af_ugglas_79db67,../riksdagen-corpus/corpus/1974/prot-1974--65.xml,mass,woman,M,3
1945,uländerna de rapporter som i massmedia nu flödar över oss berättar,massmedia,5,1974,sture_korpas_19de8e,../riksdagen-corpus/corpus/1974/prot-1974--65.xml,mass,man,C,2
1946,sin stämma hörd i våra massmedia så finns det andra grupper,massmedia,5,1974,par_granstedt_395dfc,../riksdagen-corpus/corpus/1974/prot-1974--65.xml,mass,man,C,1
1947,den riskerar att nagelfaras i massmedia och i andra sammanhang t,massmedia,5,1974,par_granstedt_395dfc,../riksdagen-corpus/corpus/1974/prot-1974--65.xml,mass,man,C,4
1948,till spekulationer inte minst i massmedia det rör sig ju om,massmedia,5,1974,sven_andersson_minister_1973,../riksdagen-corpus/corpus/1974/prot-1974--71.xml,mass,,,2
1949,tidningsdiskussion och en diskussion i massmedia över huvud taget som inte,massmedia,5,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--120.xml,mass,,,1
1950,det sker en diskussion i massmedia måste alla fakta i målet,massmedia,5,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--120.xml,mass,,,2
1951,av landstingsförbundet när representanter för massmedia har velat ta del av,massmedia,5,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--120.xml,mass,,,2
1952,helt enkelt tidningar och andra massmedia möjlighet att få de informationer,massmedia,5,1974,gabriel_romanus_5c5213,../riksdagen-corpus/corpus/1974/prot-1974--120.xml,mass,man,L,4
1953,papperet trots alla rapporter i massmedia om att detta skulle vara,massmedia,5,1974,staffan_burenstam_linder_b9aad1,../riksdagen-corpus/corpus/1974/prot-1974--16.xml,mass,man,M,2
1954,onsdagen den fyllda inslag i massmediernas bevakning av riksdagsarbetet men nu,massmediernas,5,1974,anders_bjorck_e0f968,../riksdagen-corpus/corpus/1974/prot-1974--109.xml,mass,man,M,3
1955,inte bara en informationsaspekt visavi massmedia och därigenom gentemot den allmänna,massmedia,5,1974,evert_svensson_60a2b0,../riksdagen-corpus/corpus/1974/prot-1974--109.xml,mass,man,S,4
1956,eftersträvar nämligen att leka på massmediernas gård att överta herbert söderströms,massmediernas,5,1974,anders_bjorck_e0f968,../riksdagen-corpus/corpus/1974/prot-1974--109.xml,mass,man,M,4
1957,jobb och inte leka på massmediernas gård,massmediernas,5,1974,anders_bjorck_e0f968,../riksdagen-corpus/corpus/1974/prot-1974--109.xml,mass,man,M,3
1958,bör genomföras för att förbättra massmediernas arbetsmöjligheter men detta får inte,massmediernas,5,1974,evert_svensson_60a2b0,../riksdagen-corpus/corpus/1974/prot-1974--109.xml,mass,man,S,4
1959,eskilstuna att utskotten skulle överta massmediernas arbetsuppgifter utskotten skall ha möjligheter,massmediernas,5,1974,evert_svensson_60a2b0,../riksdagen-corpus/corpus/1974/prot-1974--109.xml,mass,man,S,4
1960,som nyligen fördes i svenska massmedia om aktiv och passiv dödshjälp,massmedia,5,1974,sigfrid_lofgren_86dbd5,../riksdagen-corpus/corpus/1974/prot-1974--109.xml,mass,man,L,2
1961,tycks detta inte uppmärksammas i massmedia på samma sätt som negativa,massmedia,5,1974,georg_danell_2266ca,../riksdagen-corpus/corpus/1974/prot-1974--121.xml,mass,man,M,2
1962,själva utan tydligen också när massmedia skall in i bilden det,massmedia,5,1974,georg_danell_2266ca,../riksdagen-corpus/corpus/1974/prot-1974--121.xml,mass,man,M,4
1963,inte bara tidningar och andra massmedia utan också olika myndigheter lämnar,massmedia,5,1974,gosta_bohman_88a4c7,../riksdagen-corpus/corpus/1974/prot-1974--14.xml,mass,man,M,4
1964,finns en ny värdeskala i massmedia som vi inte kan göra,massmedia,5,1974,c-h_hermansson_f736c3,../riksdagen-corpus/corpus/1974/prot-1974--14.xml,mass,man,V,4
1965,det psykologiska planet av borgerliga massmedia och politiker när de kapitalistiska,massmedia,5,1974,gunnar_helen_77d95f,../riksdagen-corpus/corpus/1974/prot-1974--14.xml,mass,man,L,2
1966,redovisa försörjningsläget i går fick massmedia ett utförligt siffermaterial vi kommer,massmedia,5,1974,thorbjorn_falldin_08d17c,../riksdagen-corpus/corpus/1974/prot-1974--14.xml,mass,man,C,4
1967,får stödet av människor i massmedier som fäster vikt vid de,massmedier,5,1974,c-h_hermansson_f736c3,../riksdagen-corpus/corpus/1974/prot-1974--14.xml,mass,man,V,2
1968,och önskemål detta trots att massmedia har i sin tjänst en,massmedia,5,1974,torsten_bengtson_1_vice_talman,../riksdagen-corpus/corpus/1974/prot-1974--15.xml,mass,,,2
1969,göra detta i synnerhet som massmedia av olika slag tagit över,massmedia,5,1974,torsten_bengtson_1_vice_talman,../riksdagen-corpus/corpus/1974/prot-1974--15.xml,mass,,,1
1970,bara är fjärrgemenskap visst är massmedia omistliga inslag i det moderna,massmedia,5,1974,torsten_bengtson_1_vice_talman,../riksdagen-corpus/corpus/1974/prot-1974--15.xml,mass,,,1
1971,oss då också erkänna att massmedia speciellt tv blivit en besvärande,massmedia,5,1974,torsten_bengtson_1_vice_talman,../riksdagen-corpus/corpus/1974/prot-1974--15.xml,mass,,,3
1972,dem som har ansvaret för massmedia politikerna och hela vårt samhälle,massmedia,5,1974,thorbjorn_falldin_08d17c,../riksdagen-corpus/corpus/1974/prot-1974--15.xml,mass,man,C,3
1973,och utan dramatiska rapporter i massmedia om hur nära sammanbrottet låg,massmedia,5,1974,thorbjorn_falldin_08d17c,../riksdagen-corpus/corpus/1974/prot-1974--15.xml,mass,man,C,1
1974,och medfört intensiv debatt i massmedia såväl grundlagberedningens slutbetänkande som regeringens,massmedia,5,1974,gosta_bohman_88a4c7,../riksdagen-corpus/corpus/1974/prot-1974--29.xml,mass,man,M,2
1975,också ett omfattande bakgrundsmaterial till massmediernas förfogande när propo även om,massmediernas,5,1974,gosta_bohman_88a4c7,../riksdagen-corpus/corpus/1974/prot-1974--29.xml,mass,man,M,4
1976,ganska utförlig på grund av massmedias insatser har den dock framför,massmedias,5,1974,gosta_bohman_88a4c7,../riksdagen-corpus/corpus/1974/prot-1974--29.xml,mass,man,M,3
1977,betecknar som mycket upplysande när massmedia förra veckan gav beskedet att,massmedia,5,1974,ingrid_sundberg_08b84d,../riksdagen-corpus/corpus/1974/prot-1974--136.xml,mass,woman,M,2
1978,jag är beredd att kommentera massmedias uppgifter om eventuellt statligt intresse,massmedias,5,1974,thure_jadestig_ac053d,../riksdagen-corpus/corpus/1974/prot-1974--122.xml,mass,man,S,4
1979,tandteknikernas situation verkligen diskuterats i massmedia som socialministern vet råder det,massmedia,5,1974,rune_torwald_df37c7,../riksdagen-corpus/corpus/1974/prot-1974--126.xml,mass,man,C,2
1980,dessa frågor har givits i massmedia inte minst under sommaren och,massmedia,5,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--132.xml,mass,,,2
1981,upp inte minst i den massmediala förkunnelsen eftersom media av naturliga,massmediala,5,1974,gosta_bohman_88a4c7,../riksdagen-corpus/corpus/1974/prot-1974--39.xml,mass,man,M,3
1982,i den massmediala förkunnelsen eftersom media av naturliga skäl sysslar främst,media,5,1974,gosta_bohman_88a4c7,../riksdagen-corpus/corpus/1974/prot-1974--39.xml,medi,man,M,1
1983,människor utanför riksdagen vilseleddes av massmedias många gånger ofullständiga eller direkt,massmedias,5,1974,staffan_burenstam_linder_b9aad1,../riksdagen-corpus/corpus/1974/prot-1974--38.xml,mass,man,M,4
1984,smickrande uppmärksamhet i tidningar och massmedia och att det därför ligger,massmedia,5,1974,staffan_burenstam_linder_b9aad1,../riksdagen-corpus/corpus/1974/prot-1974--38.xml,mass,man,M,1
1985,propositionen har allmänheten via våra massmedia fått veta att de borgerliga,massmedia,5,1974,sven_andersson_36bb18,../riksdagen-corpus/corpus/1974/prot-1974--38.xml,mass,man,L,2
1986,borgerlig majoritet i finansutskottet kunde massmedia vidare meddela svenska folket att,massmedia,5,1974,sven_andersson_36bb18,../riksdagen-corpus/corpus/1974/prot-1974--38.xml,mass,man,L,1
1987,intressanta det avspeglas tydligt i massmedias bevakning av vad som händer,massmedias,5,1974,john_takman_3fab3b,../riksdagen-corpus/corpus/1974/prot-1974--127.xml,mass,man,V,3
1988,ambassadör edelstams olika uttalanden i massmedia givit intryck av en drastisk,massmedia,5,1974,bo_siegbahn_795964,../riksdagen-corpus/corpus/1974/prot-1974--127.xml,mass,man,M,1
1989,och föreningar men också via massmedia naturligtvis måste en rätt upplagd,massmedia,5,1974,hakan_winberg_ff3acc,../riksdagen-corpus/corpus/1974/prot-1974--125.xml,mass,man,M,4
1990,utredning med uppgift att granska massmediernas ställning funktion och finansiering med,massmediernas,5,1974,anna_eliasson_8ceaa8,../riksdagen-corpus/corpus/1974/prot-1974--125.xml,mass,woman,C,4
1991,av krav på att de medier som alltmer konkurrerar med etermedierna,medier,5,1974,anders_bjorck_e0f968,../riksdagen-corpus/corpus/1974/prot-1974--125.xml,medi,man,M,0
1992,utmynnar i ett utredningskrav om massmediernas ställning och funktion jag är,massmediernas,5,1974,anders_bjorck_e0f968,../riksdagen-corpus/corpus/1974/prot-1974--125.xml,mass,man,M,0
1993,genomslagskraft har ju detta nya medium bröd och skådespel var de,medium,5,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--125.xml,medi,,,3
1994,och sårar licensbetalarna herr talman massmedia har stor spridning och stark,massmedia,5,1974,anton_fagelsbo_0b03e9,../riksdagen-corpus/corpus/1974/prot-1974--125.xml,mass,man,C,2
1995,demokratin är beroende av att massmedia arbetar i demokratisk anda och,massmedia,5,1974,anton_fagelsbo_0b03e9,../riksdagen-corpus/corpus/1974/prot-1974--125.xml,mass,man,C,4
1996,att radio och tv som media har en oerhört stor genomslagskraft,media,5,1974,per-axel_emanuel_nilsson_6b7789,../riksdagen-corpus/corpus/1974/prot-1974--125.xml,medi,,,1
1997,bekant och mycket uppmärksammat i massmedia liggande nära i tiden osv,massmedia,5,1974,gustav_lorentzon_1f7229,../riksdagen-corpus/corpus/1974/prot-1974--125.xml,mass,man,V,2
1998,skyddsarbete ute i arbetslivet när massmedia rapporterar att ett skyddsombud ingripit,massmedia,5,1974,lars_henrikson_05eaee,../riksdagen-corpus/corpus/1974/prot-1974--124.xml,mass,man,S,4
1999,och ämnets aktualitet i andra massmedia är ett uttryck för de,massmedia,5,1974,margaretha_af_ugglas_79db67,../riksdagen-corpus/corpus/1974/prot-1974--130.xml,mass,woman,M,1
2000,inte där innan det nådde massmedia detta handlingssätt visar vilken ringa,massmedia,5,1974,gabriel_romanus_5c5213,../riksdagen-corpus/corpus/1974/prot-1974--130.xml,mass,man,L,3
2001,svaret från docent hadenius är massmediernas massmedierna har ju mycket stor,massmediernas,5,1974,sonja_fredgardh-svensson_192cec,../riksdagen-corpus/corpus/1974/prot-1974--6.xml,mass,woman,C,4
2002,de i regel fått i massmedia exempel på hur orimliga överdrifterna,massmedia,5,1974,gunnar_helen_77d95f,../riksdagen-corpus/corpus/1974/prot-1974--114.xml,mass,man,L,2
2003,den debatt som förs i massmedia låter antyda jag tycker att,massmedia,5,1974,gunnar_helen_77d95f,../riksdagen-corpus/corpus/1974/prot-1974--114.xml,mass,man,L,1
2004,diskussioner på möten och i massmedia är vår energiförsörjning vad man,massmedia,5,1974,c-h_hermansson_f736c3,../riksdagen-corpus/corpus/1974/prot-1974--114.xml,mass,man,V,1
2005,vet vi enligt uppgifter i massmedia att schweiz och österrike har,massmedia,5,1974,sven_andersson_minister_1973,../riksdagen-corpus/corpus/1974/prot-1974--116.xml,mass,,,2
2006,det över att man i massmedia och annorstädes diskuterar utredningens förslag,massmedia,5,1974,gunvor_ryding_864056,../riksdagen-corpus/corpus/1974/prot-1974--116.xml,mass,woman,V,4
2007,lögnaktiga uppgifter kastas ut via massmedia inte ett dugg i konsumenterna,massmedia,5,1974,arne_nygren_ba4e84,../riksdagen-corpus/corpus/1974/prot-1974--116.xml,mass,man,S,2
2008,här lag skulle vara för massmediernas aktiva och värderande konsumentupplysning det,massmediernas,5,1974,filip_fridolfsson_41071d,../riksdagen-corpus/corpus/1974/prot-1974--116.xml,mass,man,M,3
2009,hänger över tidningsredaktionerna och andra massmedier har vi i praktiken redan,massmedier,5,1974,filip_fridolfsson_41071d,../riksdagen-corpus/corpus/1974/prot-1974--116.xml,mass,man,M,1
2010,i sitt svar liksom i massmedia under de senaste dagarna uttalat,massmedia,5,1974,lennart_geijer_minister_1969,../riksdagen-corpus/corpus/1974/prot-1974--21.xml,mass,,,2
2011,får folk den uppfattningen genom massmedia och annat jag fick för,massmedia,5,1974,tore_claeson_756586,../riksdagen-corpus/corpus/1974/prot-1974--34.xml,mass,man,V,2
2012,om opinionsbildningen ser man på massmedier i verkligheten finner man att,massmedier,5,1974,anders_bjorck_e0f968,../riksdagen-corpus/corpus/1974/prot-1974--117.xml,mass,man,M,1
2013,som ständigt möter oss i massmedia och i organisationssverige det talas,massmedia,5,1974,unknown,../riksdagen-corpus/corpus/1974/prot-1974--117.xml,mass,,,4
2014,vidtagits några särskilda åtgärder och massmedia har intill den allra senaste,massmedia,5,1974,karl_boo_ef00c6,../riksdagen-corpus/corpus/1974/prot-1974--30.xml,mass,man,C,2
2015,som vi haft och i massmedia operationen det olyckliga uttryck som,massmedia,5,1974,gosta_bohman_88a4c7,../riksdagen-corpus/corpus/1974/prot-1974--30.xml,mass,man,M,2
2016,vi använda den information som massmedia och partierna ger och vi,massmedia,5,1974,gosta_bohman_88a4c7,../riksdagen-corpus/corpus/1974/prot-1974--30.xml,mass,man,M,1
2017,vi skall ha det än massmedia och vår egen partiorganisation för,massmedia,5,1974,gosta_bohman_88a4c7,../riksdagen-corpus/corpus/1974/prot-1974--30.xml,mass,man,M,4
2018,andra frågor huvudsakligen litat till massmedias rapportering och till den information,massmedias,5,1974,allan_hernelius_2ea671,../riksdagen-corpus/corpus/1974/prot-1974--18.xml,mass,man,M,3
2019,av många inte minst av massmedia men också av riksdagens ledamöter,massmedia,5,1974,per_ahlmark_b94ef7,../riksdagen-corpus/corpus/1974/prot-1974--18.xml,mass,man,L,2
2020,detta är avslöjande nu berättar massmedia om den strida strömmen av,massmedia,5,1974,per_ahlmark_b94ef7,../riksdagen-corpus/corpus/1974/prot-1974--18.xml,mass,man,L,1
2021,driven över hela landet med massmedias hjälp för ett mjukare körsätt,massmedias,5,1974,sonja_fredgardh-svensson_192cec,../riksdagen-corpus/corpus/1974/prot-1974--31.xml,mass,woman,C,4
2022,i skrift bild eller andra medier han vill ta del av,medier,5,1974,martin_henmark_284b6a,../riksdagen-corpus/corpus/1974/prot-1974--106.xml,medi,man,L,2
2023,ofta syns och hörs i massmedia finns hundratusentals människor i detta,massmedia,5,1974,gunnar_helen_77d95f,../riksdagen-corpus/corpus/1974/prot-1974--105.xml,mass,man,L,1
2024,vi dagligen möter i olika massmedia deras roll i sammanhanget får,massmedia,5,1974,gunnar_helen_77d95f,../riksdagen-corpus/corpus/1974/prot-1974--105.xml,mass,man,L,2
2025,är fallet när man via massmedia får den uppfattningen av representanter,massmedia,5,1974,rune_b_johansson_minister_1971,../riksdagen-corpus/corpus/1974/prot-1974--111.xml,mass,,,1
2026,förhållande inte bara uppmärksammades av massmedia utan retade också sjs egen,massmedia,5,1974,bengt_norling_minister_1969,../riksdagen-corpus/corpus/1974/prot-1974--111.xml,mass,,,3
2027,behöva samla erfarenheter av ett medium som i vårt land är,medium,5,1974,bertil_zachrisson_minister_1973,../riksdagen-corpus/corpus/1974/prot-1974--96.xml,medi,,,3
2028,för att övertyga kommunalfolk och massmedia och utomlands för att skaffa,massmedia,5,1974,eric_holmqvist_minister_1973,../riksdagen-corpus/corpus/1974/prot-1974--69.xml,mass,,,4
2029,på är behovet av att massmedia används för den här informationsverksamheten,massmedia,5,1974,sven_gustafson_4d053b,../riksdagen-corpus/corpus/1974/prot-1974--55.xml,mass,man,L,1
2030,informationsverksamheten rätt bedriven upplysningsverksamhet i massmedia bör vara av mycket stort,massmedia,5,1974,sven_gustafson_4d053b,../riksdagen-corpus/corpus/1974/prot-1974--55.xml,mass,man,L,2
2031,skulle innebära minskade inslag i massmedia i första hand detta är,massmedia,5,1974,sven_gustafson_4d053b,../riksdagen-corpus/corpus/1974/prot-1974--55.xml,mass,man,L,4
2032,kristinehamn tar upp de olika massmediernas roll i sammanhanget och jag,massmediernas,5,1974,bengt_norling_minister_1969,../riksdagen-corpus/corpus/1974/prot-1974--55.xml,mass,,,3
2033,för allmänheten organisationer myndigheter och massmedia utöver den traditionella opinionsbildningen bör,massmedia,5,1974,alf_lovenborg_449fed,../riksdagen-corpus/corpus/1974/prot-1974--54.xml,mass,man,V,1
2034,för landets politik självfallet har massmedia i detta avseende ett stort,massmedia,5,1974,karl-erik_eriksson_7b1b49,../riksdagen-corpus/corpus/1974/prot-1974--54.xml,mass,man,L,1
